Source:,C:\Users\Alec\Documents\Classes\Electrical_Projects\Heater\Heater_Controller\Heater_Controller\Heater_Controller.sch,,,,,,
Date:,8/18/2021 3:11,,,,,,
Tool:,Eeschema (5.1.10)-1,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,32,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,part#
10,1,F1,Fuse,Device:Fuse,Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,~,
11,2,"FID1, FID2",Fiducial,Mechanical:Fiducial,Fiducial:Fiducial_0.75mm_Mask1.5mm,~,
12,1,HS1,Heatsink_Pad,Mechanical:Heatsink_Pad,Heatsink:Heatsink_AAVID_573300D00010G_TO-263,~,
13,1,J1,Screw_Terminal_01x02,Connector:Screw_Terminal_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",~,
14,1,J2,Conn_01x03_Male,Connector:Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,
15,1,J3,Conn_01x06,Connector_Generic:Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~,
16,1,L1,12uH,Device:L,Inductor_THT:L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC,~,
17,1,Q1,FDD8447L,Device:Q_NMOS_GDS,Package_TO_SOT_SMD:TO-252-3_TabPin2,~,
18,1,R1,R,Device:R,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",~,
19,1,R2,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
20,1,R3,2k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
21,1,R4,14k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
22,3,"R5, R6, R7",1k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
23,1,TC1,Thermocouple,Device:Thermocouple,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",~,
24,1,U1,SC0915,Heater_Controller-rescue:SC0915-2021-08-14_07-35-25,footprints:SC0915-Up,,
25,1,U2,TPS54331D,Heater_Controller-rescue:TPS54331D-2021-08-15_07-00-47,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,TPS54331D
26,1,U3,MAX31855KASA,Sensor_Temperature:MAX31855KASA,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://datasheets.maximintegrated.com/en/ds/MAX31855.pdf,
